Amount,Stage,CloseDate,RecurringDonationInstallmentPeriod,RecurringDonationInstallmentAmount,RecurringDonationLastDonationDate,NSFID,FirstGiftDate,LastGiftDate,LastGiftAmount,Region,BillingState,
$50.00,Closed Won,9/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,10/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,6/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,8/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,7/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,11/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,4/23/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$50.00,Closed Won,5/24/2018,Monthly,$50.00,11/24/2018,NSF-22308,4/29/2017,3/4/2021,$26.25,North Central,MI,
$40.00,Closed Won,12/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,8/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,10/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,9/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,11/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,4/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,1/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,2/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,3/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,4/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,7/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,6/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,5/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,10/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,9/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,6/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,7/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,8/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,4/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,5/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,3/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,2/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,11/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,12/28/2015,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,1/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,2/28/2016,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,5/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,3/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,7/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$40.00,Closed Won,6/28/2017,Monthly,$40.00,7/28/2017,NSF-32780,2/28/2015,7/28/2017,$40.00,North West,WA,
$18.00,Closed Won,4/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,3/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,6/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,5/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,7/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,8/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,10/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,9/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,11/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,12/30/2018,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,2/28/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,1/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,11/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,12/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,9/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,10/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,8/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,7/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,6/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,5/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,4/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,3/30/2019,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$18.00,Closed Won,1/30/2020,Monthly,$18.00,1/30/2020,NSF-43297,11/20/2016,2/28/2021,$18.00,North East,MA,
$20.00,Closed Won,9/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,8/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,7/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,6/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,2/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,4/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,3/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$20.00,Closed Won,5/20/2015,Monthly,$20.00,9/20/2015,NSF-32342,2/20/2015,9/20/2015,$20.00,North East,DC,
$50.00,Closed Won,1/16/2020,Monthly,$50.00,1/16/2020,NSF-44594,11/16/2019,4/16/2020,$50.00,North East,NJ,
$50.00,Closed Won,12/16/2019,Monthly,$50.00,1/16/2020,NSF-44594,11/16/2019,4/16/2020,$50.00,North East,NJ,
$50.00,Closed Won,11/16/2019,Monthly,$50.00,1/16/2020,NSF-44594,11/16/2019,4/16/2020,$50.00,North East,NJ,
$30.00,Closed Won,7/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/11/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,11/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,10/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,9/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,7/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,4/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,5/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,6/10/2017,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2014,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,3/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,12/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,1/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,2/10/2016,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
$30.00,Closed Won,8/10/2015,Monthly,$30.00,8/11/2017,NSF-52076,1/13/2013,3/10/2021,$30.00,North East,MA,
